Dataset,AUC,Precision,Recall,F1
bbbp,0.9355802617521367,0.8924418604651163,0.9839743589743589,0.9359756097560976
clintox,0.7718978102189781,0.2857142857142857,0.09090909090909091,0.13793103448275862
